RelativePath,FunctionName,dep,dep_count,dexp,dexp_count
support/snprintf.c,__builtin___snprintf_chk,[],0,[],0
src/extensions.c,allow_retrieve,[],0,[],0
support/ftw.c,ftw,[],0,[],0
support/sco.c,getwd,['getcwd'],1,[],0
support/ftw.c,treewalk,[],0,[],0
src/hard.loop.c,main,[],0,[],0
support/strdup.c,strdup,[],0,[],0
src/ftprestart.c,main,"['getopt', 'fgets']",2,"['fprintf', 'perror']",2
src/ftprestart.c,newfile,[],0,[],0
src/ftprestart.c,remove_shutdown_file,[],0,"['fprintf', 'perror']",2
src/getpwnam.c,bero_getpwnam,[],0,[],0
src/getpwnam.c,bero_getpwuid,[],0,[],0
src/getpwnam.c,fgetpwent,['fgets'],1,[],0
src/ftpshut.c,main,"['getopt', 'fread']",2,"['fprintf', 'perror', 'printf']",3
src/ftpshut.c,massage,[],0,[],0
src/ftpshut.c,newfile,[],0,[],0
src/ftpshut.c,shutdown_msgfile,[],0,"['perror', 'fprintf', 'printf']",3
src/glob.c,Gcat,[],0,[],0
src/glob.c,acollect,[],0,[],0
src/glob.c,addpath,[],0,[],0
src/glob.c,amatch,[],0,[],0
src/glob.c,any,[],0,[],0
src/glob.c,argcmp,[],0,[],0
src/glob.c,blkcpy,[],0,[],0
src/glob.c,blklen,[],0,[],0
src/glob.c,collect,[],0,[],0
src/glob.c,copyblk,[],0,[],0
src/glob.c,digit,[],0,[],0
src/glob.c,execbrc,[],0,[],0
src/glob.c,expand,[],0,[],0
src/glob.c,gethdir,[],0,[],0
src/glob.c,ginit,[],0,[],0
src/glob.c,letter,[],0,[],0
src/glob.c,match,[],0,[],0
src/glob.c,matchdir,['readdir'],1,[],0
src/glob.c,rscan,[],0,[],0
src/glob.c,sort,[],0,[],0
src/glob.c,strend,[],0,[],0
src/glob.c,strspl,[],0,[],0
src/glob.c,tglob,[],0,[],0
support/syslog.c,closelog,[],0,[],0
support/syslog.c,openlog,[],0,[],0
support/snprintf.c,__builtin___vsnprintf_chk,[],0,[],0
src/ftpd.c,alarm_signal,[],0,[],0
src/ftpd.c,dolog,['gethostbyaddr'],1,[],0
src/ftpd.c,draconian_alarm_signal,[],0,[],0
support/sco.c,initgroups,[],0,"['fprintf', 'perror']",2
src/ftpd.c,main,"['getopt', 'signal', 'gethostbyname']",3,[],0
src/ftpd.c,pasv_allowed,[],0,[],0
src/ftpd.c,port_allowed,[],0,[],0
support/sco.c,setegid,[],0,[],0
support/sco.c,seteuid,[],0,[],0
src/ftpd.c,socket_flush_wait,['read'],1,[],0
support/ftruncate.c,ftruncate,[],0,[],0
src/loadavg.c,getla,[],0,[],0
support/sco.c,setgid,[],0,[],0
support/sco.c,setuid,[],0,[],0
src/private.c,priv_getent,[],0,[],0
src/test.loadavg.c,main,[],0,['printf'],1
src/wu_fnmatch.c,rangematch,[],0,[],0
src/routevector.c,addportentry,[],0,[],0
src/routevector.c,addr_cmp,[],0,[],0
src/routevector.c,addr_smatch,[],0,[],0
src/routevector.c,addvectentry,[],0,[],0
src/routevector.c,find_passive_port_entry,[],0,[],0
src/routevector.c,find_passive_vect_entry,[],0,[],0
src/routevector.c,initportstruct,[],0,[],0
src/routevector.c,initportvectors,[],0,[],0
src/routevector.c,initvectstruct,[],0,[],0
src/routevector.c,makeportentry,[],0,[],0
src/routevector.c,makevectentry,[],0,[],0
support/ftw.c,chwalk,['readdir'],1,[],0
support/ftw.c,walk,['readdir'],1,[],0
support/getcwd.c,getcwd,['readdir'],1,[],0
support/getcwd.c,strnrcpy,[],0,[],0
support/glob.c,__glob_pattern_p,[],0,[],0
support/glob.c,globfree,[],0,[],0
support/glob.c,collated_compare,[],0,[],0
support/glob.c,glob,"['getenv', 'getlogin']",2,[],0
support/glob.c,glob_in_dir,[],0,[],0
support/glob.c,my_realloc,[],0,[],0
support/glob.c,next_brace_sub,[],0,[],0
support/glob.c,prefix_array,[],0,[],0
support/snprintf.c,dopr,[],0,[],0
support/snprintf.c,dopr_outch,[],0,[],0
support/snprintf.c,dostr,[],0,[],0
support/snprintf.c,fmtnum,[],0,[],0
support/snprintf.c,fmtstr,[],0,[],0
support/getusershell.c,initshells,['fgets'],1,[],0
support/getusershell.c,setusershell,[],0,[],0
support/vsnprintf.c,__builtin___vsnprintf_chk,[],0,[],0
util/gzip2cmp.c,main,[],0,"['fputs', 'perror']",2
support/sco.c,getcwd,['readdir'],1,[],0
support/sco.c,kmem_open,[],0,[],0
support/sco.c,setreuid,[],0,[],0
support/sco.c,setrgid,[],0,[],0
support/sco.c,setruid,[],0,[],0
support/sco.c,wrub,[],0,['write'],1
support/syslog.c,vsyslog,[],0,['send'],1
support/syslog.c,openlogfd,[],0,[],0
support/syslog.c,syslog,[],0,['vsyslog'],1
util/recompress.c,main,[],0,"['fputs', 'perror']",2
util/privatepw/privatepw.c,addrecord,['getpass'],1,"['printf', 'fprintf']",2
util/privatepw/privatepw.c,catchintr,[],0,['fprintf'],1
util/privatepw/privatepw.c,confirmed,['getc'],1,['printf'],1
util/privatepw/privatepw.c,getgroup,['getc'],1,"['fputs', 'fprintf']",2
util/privatepw/privatepw.c,list_privatefile,['fgets'],1,"['fprintf', 'printf', 'fputs']",3
util/privatepw/privatepw.c,main,"['getopt', 'signal', 'fgets']",3,"['fprintf', 'perror', 'printf', 'fputs']",4
util/privatepw/privatepw.c,savit,[],0,['fprintf'],1
util/privatepw/privatepw.c,terminate,[],0,[],0
util/privatepw/privatepw.c,to64,[],0,[],0
util/privatepw/privatepw.c,usage,[],0,['fprintf'],1
